,Plant Name,Season,Plant Type,State,Picture Link,Blooms,Zones,Sun Needs,Soil Needs,Tolerates heat,Tolerates frost,Non-invasive,Good for pressed flowers,Good for cut flowers,Deer resistant,Attracts bees,Attracts butterflies,Attracts beneficial insects,Attracts hummingbirds,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New york,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
92,Lemon Balm,Summer,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/lemon-balm-787626.jpg,Early Summer,3 --7,Full Sun / Partial Shade,Well-drained,,,,,,,1,,,,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
15,Bee Balm,Summer,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/bee-balm-1043110.jpg, Mid Summer,4 --9,Full Sun / Partial Shade,Damp,,,,,,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
22,Boneset,Summer,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/eupatorium-perfoliatum-sca-04381.jpg,Late Summer ,4 --9,Full Sun / Partial Shade,Well-drained,,,,,,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
35,Catmint,Summer,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/8929943172-e96c6bcd6f.jpg,Early Summer,3 --8,Full Sun / Partial Shade,Dry,,,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
63,Fennel,Summer,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/fennel-223059.jpg,Mid Summer,4 --9,Full Sun,Well-drained,,,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
32,Cardinal Flower,Summer,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/cardinal-flower-86592.jpg, Mid Summer,2 --9,Partial Shade,Damp,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
69,Gazania,Summer,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/gazanie-499110.jpg,Early Summer ,8 --10,Full Sun,Well-drained,,,,,,,,1,,,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,,,1,,1,,0,1,1,0,,1,0,1,1,1,0,1,1,,0,0
72,Globe Thistle,Summer,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/globe-thistle-53355.jpg, Mid Summer,4 --9,Full Sun,Well-drained,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
77,Heliotrope,Summer,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/valerian-413021.jpg, Mid Summer,10 --11,All Sun Types,Well-drained,,,,,,,,1,,,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,0,0,0,0,,,0,0,1,0,0,0,0,,0,0
94,Lobelia,Summer,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/lobelia-777674.jpg,Early Summer,2 --10,Full Sun / Partial Shade,Well-drained,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
134,Sweet Alyssum,Spring,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/little-dorrit-322525.jpg,Late Spring ,7 --11,Full Sun / Partial Shade,Damp,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,,1,1,1,1,,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0
111,Petunia,Summer,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/petunia-662536.jpg,Early Summer ,8 --11,Full Sun,Well-drained,,,,,,,,1,,,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,,,1,,1,,0,1,1,0,,1,0,1,1,1,0,1,1,,0,0
145,Wild Senna,Summer,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/senna-multiglandulosa-5.jpg,Mid Summer,4 --7,Full Sun,Well-drained,,,,,,,,,,,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
23,Browallia,Summer,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/img-7246-browallia-speciosa.jpg, Mid Summer,2 --11,Partial Shade / Full Shade,Well-drained,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
100,Mirabilis,Summer,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/mirabilis-jalapa-402433.jpg, Mid Summer,7 --11,Full Sun / Partial Shade,Well-drained,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,,1,1,1,1,,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0
101,Moonflower,Summer,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/ipomoea-alba.jpg,Early Summer ,10 --11,Full Sun,Well-drained,,,,,,,,,,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,0,0,0,0,,,0,0,1,0,0,0,0,,0,0
102,Morning Glory,Summer,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/sky-blue-morning-glory-8793.jpg,Early Summer,2 --11,Full Sun,Well-drained,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
139,Torenia,Summer,Flower,,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/8225263728-e0f786f37d.jpg,Mid Summer,2 --11,Partial Shade,Well-drained,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
